client_id,country,country_risk,is_pep,sector,transaction_volume,account_age_years,nb_transactions_30d,avg_transaction_amount,nb_countries_involved,cash_ratio,adverse_media_score,beneficial_owner_complexity,source_of_wealth_verified,risk_label
CLT0001,British Virgin Islands,High,0,Retail,92259.0,11,14,549.16,14,0.374,0,0,1,1
CLT0002,Japan,Low,0,Real Estate,12373.06,5,58,17.78,12,0.113,0,1,1,1
CLT0003,Sweden,Low,1,Retail,33979.66,14,44,64.36,7,0.24,0,0,1,0
CLT0004,India,Medium,0,Legal,69196.01,19,18,320.35,1,0.403,0,0,0,0
CLT0005,Hong Kong,Medium,0,Construction,531326.55,8,7,6325.32,7,0.411,0,0,1,1
CLT0006,Mexico,Medium,0,Real Estate,4131.71,27,87,3.96,11,0.279,2,0,1,2
CLT0007,Austria,Low,0,Finance,16184.09,7,97,13.9,3,0.335,2,2,1,1
CLT0008,Austria,Low,0,Real Estate,325430.79,27,62,437.41,5,0.105,0,1,0,0
CLT0009,Turkey,Medium,0,Legal,460584.04,27,45,852.93,10,0.183,0,0,1,0
CLT0010,Turkey,Medium,1,Healthcare,53929.31,7,16,280.88,5,0.016,3,0,0,2
CLT0011,France,Low,1,Mining,601752.26,24,64,783.53,8,0.113,0,0,1,1
CLT0012,South Africa,Medium,0,Energy,19929.24,23,37,44.89,7,0.111,2,1,0,2
CLT0013,Germany,Low,0,Retail,6223.83,3,25,20.75,7,0.308,2,2,1,2
CLT0014,Turkey,Medium,1,Construction,195897.22,3,9,1813.86,6,0.469,0,0,1,2
CLT0015,Nigeria,High,0,Legal,417507.32,18,55,632.59,7,0.298,0,1,1,1
CLT0016,Germany,Low,1,Technology,407193.5,13,28,1211.89,14,0.09,0,0,1,1
CLT0017,India,Medium,0,Energy,16396.66,1,9,151.82,7,0.339,2,1,1,2
CLT0018,North Korea,High,0,Legal,80746.49,5,12,560.74,5,0.269,1,0,1,1
CLT0019,Canada,Low,0,Technology,211023.98,28,18,976.96,5,0.542,0,0,1,0
CLT0020,South Africa,Medium,0,Technology,94039.16,4,91,86.12,4,0.248,0,0,1,0
CLT0021,Saudi Arabia,Medium,0,Technology,524150.99,16,90,485.32,14,0.36,0,0,1,1
CLT0022,Panama,High,0,Healthcare,32611.86,15,56,48.53,4,0.59,3,1,1,2
CLT0023,Cayman Islands,High,0,Real Estate,53856.39,29,90,49.87,5,0.048,0,2,1,1
CLT0024,Singapore,Medium,0,Trading,85330.37,27,74,96.09,10,0.291,0,0,1,0
CLT0025,Japan,Low,0,Retail,208737.18,18,58,299.91,9,0.389,2,0,1,1
CLT0026,France,Low,0,Technology,44726.01,17,81,46.01,14,0.116,2,0,1,1
CLT0027,Netherlands,Low,0,Legal,240662.6,14,51,393.24,11,0.379,0,0,0,1
CLT0028,India,Medium,0,Finance,664597.63,14,32,1730.72,12,0.131,0,0,1,1
CLT0029,Norway,Low,0,Finance,27526.19,19,88,26.07,6,0.354,1,0,1,0
CLT0030,UAE,Medium,1,Construction,46770.64,29,48,81.2,8,0.289,0,1,1,1
CLT0031,UK,Low,1,Mining,255669.12,6,8,2663.22,9,0.492,0,1,1,2
CLT0032,Saudi Arabia,Medium,0,Technology,1078727.39,13,30,2996.46,12,0.135,0,0,1,1
CLT0033,New Zealand,Low,0,Legal,155428.16,18,26,498.17,14,0.188,1,1,0,2
CLT0034,Norway,Low,0,Technology,18409.93,26,24,63.92,4,0.446,3,2,0,2
CLT0035,Russia,High,1,Healthcare,80600.36,15,27,248.77,12,0.136,3,0,1,2
CLT0036,Germany,Low,0,Mining,252783.84,29,79,266.65,13,0.296,0,0,1,0
CLT0037,Brazil,Medium,0,Technology,17696.94,23,92,16.03,7,0.364,0,1,0,0
CLT0038,Cayman Islands,High,0,Retail,11877.84,27,75,13.2,5,0.284,0,1,1,0
CLT0039,Netherlands,Low,0,Finance,35686.42,7,39,76.25,4,0.425,0,0,0,0
CLT0040,Sweden,Low,0,Technology,161046.81,27,66,203.34,12,0.515,0,1,1,0
CLT0041,Venezuela,High,0,Retail,7678.49,19,51,12.55,7,0.369,1,0,1,1
CLT0042,New Zealand,Low,1,Retail,21170.88,30,73,24.17,3,0.108,0,0,1,0
CLT0043,China,Medium,1,Real Estate,90263.62,17,50,150.44,1,0.198,0,1,1,1
CLT0044,UK,Low,0,Retail,307360.97,9,45,569.19,7,0.184,0,2,1,0
CLT0045,Germany,Low,0,Mining,92532.58,11,87,88.63,9,0.392,0,1,0,1
CLT0046,Luxembourg,Low,0,Finance,105032.72,5,33,265.23,2,0.18,0,2,1,0
CLT0047,UK,Low,0,Construction,270325.64,2,19,1185.64,7,0.035,0,0,1,0
CLT0048,British Virgin Islands,High,0,Healthcare,657294.02,15,13,4213.42,10,0.547,0,0,1,1
CLT0049,UAE,Medium,0,Finance,555857.83,24,78,593.87,2,0.113,0,0,1,0
CLT0050,Russia,High,0,Legal,2801.63,12,96,2.43,13,0.227,0,0,1,1
CLT0051,Myanmar,High,0,Construction,69361.47,10,22,262.73,13,0.367,0,1,0,2
CLT0052,Denmark,Low,0,Retail,235337.0,10,20,980.57,3,0.228,0,0,0,0
CLT0053,New Zealand,Low,0,Technology,766569.08,20,97,658.56,13,0.236,0,0,1,0
CLT0054,Afghanistan,High,0,Real Estate,156604.68,11,5,2610.08,10,0.792,0,1,0,2
CLT0055,Japan,Low,1,Construction,16501.73,10,84,16.37,14,0.195,1,0,1,2
CLT0056,Sweden,Low,1,Legal,20120.22,28,78,21.5,12,0.546,0,0,0,1
CLT0057,New Zealand,Low,1,Legal,20982.67,7,91,19.21,10,0.194,0,1,1,1
CLT0058,Mexico,Medium,0,Construction,94966.39,14,90,87.93,3,0.482,0,1,1,0
CLT0059,India,Medium,0,Real Estate,29151.65,13,32,75.92,12,0.095,0,1,0,2
CLT0060,Singapore,Medium,0,Retail,622.04,5,30,1.73,13,0.129,0,1,1,0
CLT0061,UAE,Medium,1,Mining,10224.75,29,91,9.36,4,0.461,0,0,1,1
CLT0062,Turkey,Medium,0,Legal,30749.42,19,26,98.56,6,0.2,0,0,0,1
CLT0063,Russia,High,0,Retail,7756.42,10,82,7.88,3,0.697,2,0,1,1
CLT0064,Saudi Arabia,Medium,0,Mining,9698.3,8,87,9.29,13,0.312,2,1,0,2
CLT0065,British Virgin Islands,High,0,Mining,1298156.77,18,88,1229.32,9,0.34,1,0,1,2
CLT0066,Japan,Low,0,Legal,59104.78,1,4,1231.35,2,0.198,0,1,1,0
CLT0067,Switzerland,Low,0,Construction,33551.2,5,67,41.73,7,0.097,0,0,0,0
CLT0068,Saudi Arabia,Medium,0,Mining,162920.09,11,43,315.74,6,0.229,0,1,1,1
CLT0069,Netherlands,Low,0,Technology,334069.43,20,30,927.97,14,0.04,0,0,1,0
CLT0070,Norway,Low,1,Finance,1725320.69,11,16,8986.05,2,0.415,0,1,1,0
CLT0071,Turkey,Medium,0,Healthcare,773019.48,16,71,907.3,11,0.168,0,1,1,1
CLT0072,Switzerland,Low,0,Legal,114945.48,10,39,245.61,3,0.308,0,1,1,0
CLT0073,Sweden,Low,0,Energy,6007.65,15,86,5.82,6,0.362,0,1,1,0
CLT0074,Turkey,Medium,1,Mining,13310.07,7,41,27.05,10,0.171,0,0,1,2
CLT0075,Austria,Low,0,Trading,32768.15,15,31,88.09,4,0.32,1,0,1,0
CLT0076,China,Medium,1,Technology,128007.59,29,49,217.7,1,0.222,1,0,1,0
CLT0077,Sweden,Low,0,Energy,68973.3,25,13,442.14,1,0.206,0,0,1,0
CLT0078,Venezuela,High,1,Retail,6571.25,16,41,13.36,3,0.3,0,1,1,1
CLT0079,Venezuela,High,1,Healthcare,5025.97,6,93,4.5,8,0.198,1,2,1,2
CLT0080,North Korea,High,0,Real Estate,88301.47,11,28,262.8,11,0.583,3,0,1,2
CLT0081,USA,Low,0,Mining,71686.72,17,64,93.34,4,0.088,0,1,0,0
CLT0082,Cayman Islands,High,0,Real Estate,43703.55,15,19,191.68,11,0.253,0,1,1,2
CLT0083,Netherlands,Low,0,Healthcare,123548.5,16,87,118.34,1,0.104,1,2,0,0
CLT0084,Norway,Low,0,Technology,388566.14,24,72,449.73,8,0.694,0,1,1,0
CLT0085,Sweden,Low,0,Technology,95330.34,2,25,317.77,10,0.546,2,1,1,2
CLT0086,Canada,Low,0,Healthcare,14581.73,4,38,31.98,6,0.517,1,0,0,0
CLT0087,Myanmar,High,0,Technology,1058993.46,19,99,891.41,1,0.021,1,0,1,0
CLT0088,North Korea,High,0,Mining,45960.48,6,90,42.56,12,0.342,0,0,1,2
CLT0089,Mexico,Medium,0,Healthcare,64537.16,18,3,1792.7,10,0.24,0,1,1,0
CLT0090,Turkey,Medium,0,Legal,22460.49,21,2,935.85,10,0.461,0,0,1,0
CLT0091,Venezuela,High,0,Trading,11948.72,11,5,199.15,6,0.266,0,0,1,1
CLT0092,South Africa,Medium,0,Retail,13500.86,9,61,18.44,1,0.218,0,2,1,0
CLT0093,Panama,High,0,Finance,9709.0,3,20,40.45,10,0.369,1,1,1,2
CLT0094,Venezuela,High,1,Construction,655.3,2,76,0.72,10,0.406,0,1,1,2
CLT0095,Switzerland,Low,0,Trading,47363.65,18,38,103.87,3,0.267,0,0,1,0
CLT0096,Venezuela,High,0,Finance,312863.82,15,80,325.9,2,0.419,0,0,1,0
CLT0097,New Zealand,Low,0,Construction,13677.83,25,36,31.66,4,0.244,0,0,0,0
CLT0098,France,Low,0,Real Estate,2783533.81,22,46,5042.63,2,0.346,1,1,0,1
CLT0099,Switzerland,Low,1,Trading,479053.09,18,93,429.26,11,0.674,1,0,1,1
CLT0100,USA,Low,1,Energy,58259.6,19,99,49.04,13,0.262,1,0,1,2
CLT0101,Russia,High,0,Trading,11309.26,15,37,25.47,5,0.436,0,1,1,1
CLT0102,New Zealand,Low,0,Technology,5455.36,30,54,8.42,4,0.386,0,0,0,0
CLT0103,Panama,High,0,Mining,50487.17,17,21,200.35,6,0.213,2,0,1,2
